Drug_ID,SMILES,Predicted_DTA_S1R,Predicted_DTA_DRD2,Predicted_DTA_BIP
DB00434,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,6.165478467941284,5.334933638572693,4.9502387046813965
DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,6.212259531021118,6.201014935970306,5.566795706748962
DB00437,C1=NNC2=C1C(=O)NC=N2,5.502039790153503,5.535723626613617,4.767443537712097
DB00441,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,5.810741186141968,5.830877125263214,4.941704213619232
DB00443,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,7.74298495054245,6.99364048242569,7.386704802513123
DB00444,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,6.325149238109589,5.992471277713776,4.756310760974884
DB00445,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,6.601495563983917,6.5673006772994995,5.7194435596466064
DB00448,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,6.367079436779022,5.741317987442017,5.091754376888275
DB00449,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C,5.739396631717682,5.8416343331336975,4.91374796628952
DB00451,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,5.905776381492615,5.7214744091033936,5.107227087020874
DB00454,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,6.552121162414551,5.694439232349396,5.358408689498901
DB00457,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,6.063066005706787,5.773203551769257,5.004135429859161
